Statement_ID,Old_Observation_ID,Source_ID,Statement,Column1
ST-002,O-005,SR-001,fully integral products require changes to every component to effect change in any single functional element.,
ST-003,O-007,SR-001,modular architecture allows the required changes that are typically associated with the product's function to be localized to the minimum possible number of components. ,
ST-004,O-008,SR-001,"Although consumption and wear is frequently accommodated through a modular design with replaceable parts another popular strategy is to dramatically lower the cost of the entire product, often through an integral architecture, such that the entire product can be discarded or recycled.",
ST-005,O-009,SR-001,"In each of these cases, changes to the product are most easily accomodated through modular architecture: upgrades, add-ons, adaptation, wear, consumption, and flexibility",
ST-007,O-012,SR-001,"Sanchez and Sudharashan [22] describe a development strategy they call real-time market research. Under this scheme, the firm introduces a product, gauges the market response, then develops and launches an incrementally-improved product extremely quickly. A modular architecture is essential to being able to quickly change the product in this way.",
ST-008,O-015,SR-001,"Modularity of the product allows the variety to be created at final assembly, the last stage of the production process.",
ST-009,O-016,SR-001,Modularity allows for Variety to be created by combinations of building blocks,
ST-010,O-018,SR-001,Process flexibility allows economical high-variety production of a product with an integral architecture.,
ST-011,O-019,SR-001,"The components for the modular design could be produced with flexible production equipment, eliminating the need for the inventories and tooling expense.",
ST-012,O-020,SR-001,"With a modular product architecture, product variety can be achieved with or without flexible component production equipment. ",
ST-015,O-023,SR-001,A modular architecture increases the likelihood that a component will be commonly useful,
ST-016,O-024,SR-001,"Components of a product exhibiting an integral architecture would only be potentially useful in other products containing the exact combination of functional elements, or parts of functional elements, implemented by the component.",
ST-017,O-025,SR-001,"Under most circumstances, a standard componentis less expensive than a component designed and built for use in only one product.",
ST-018,O-026,SR-001,"Component standardization can decrease costs due to economies of scale, but may also lead increased costs due to excess component capability",
ST-019,O-028,SR-001,"Standard components, in general, exhibit higher performance (for a given cost) than unique designs.",
ST-020,O-029,SR-001,standardization may act as an inertial force preventing firms from adopting a better component technology because of compatibility issues,
ST-021,O-030,SR-001,"The use of standard components can lower the complexity, cost, and lead time of product development.",
ST-022,O-031,SR-001,Modular architectures allow for optimization of local performance characteristics,
ST-023,O-032,SR-001,Global performance characteristics can only be optimized through an integral architecture,
ST-024,O-033,SR-001,A modular architecture may allow the use of a standard component,
ST-025,O-034,SR-001,The use of a standard component exploits the performance refinements the supplier of this component has been able to make over the entire history of the component's use,
ST-026,O-035,SR-001,"Modular architectures allow components to be designed, tested, and refined in a focused way without disruptions and distractions arising from the need to address either interface coupling or other functional elements",
