Statement_ID,Old_Observation_ID,Source_ID,text,label,
ST-002,O-005,SR-001,fully integral products require changes to every component to effect change in any single functional element.,1,
ST-003,O-007,SR-001,modular architecture allows the required changes that are typically associated with the product's function to be localized to the minimum possible number of components. ,1,
ST-004,O-008,SR-001,"Although consumption and wear is frequently accommodated through a modular design with replaceable parts another popular strategy is to dramatically lower the cost of the entire product, often through an integral architecture, such that the entire product can be discarded or recycled.",1,
ST-005,O-009,SR-001,"In each of these cases, changes to the product are most easily accomodated through modular architecture: upgrades, add-ons, adaptation, wear, consumption, and flexibility",1,
ST-007,O-012,SR-001,"Sanchez and Sudharashan [22] describe a development strategy they call real-time market research. Under this scheme, the firm introduces a product, gauges the market response, then develops and launches an incrementally-improved product extremely quickly. A modular architecture is essential to being able to quickly change the product in this way.",1,
ST-008,O-015,SR-001,"Modularity of the product allows the variety to be created at final assembly, the last stage of the production process.",1,
ST-009,O-016,SR-001,Modularity allows for Variety to be created by combinations of building blocks,1,
ST-010,O-018,SR-001,Process flexibility allows economical high-variety production of a product with an integral architecture.,1,
ST-011,O-019,SR-001,"The components for the modular design could be produced with flexible production equipment, eliminating the need for the inventories and tooling expense.",1,
ST-012,O-020,SR-001,"With a modular product architecture, product variety can be achieved with or without flexible component production equipment. ",1,
ST-015,O-023,SR-001,A modular architecture increases the likelihood that a component will be commonly useful,1,
ST-016,O-024,SR-001,"Components of a product exhibiting an integral architecture would only be potentially useful in other products containing the exact combination of functional elements, or parts of functional elements, implemented by the component.",1,
ST-017,O-025,SR-001,"Under most circumstances, a standard componentis less expensive than a component designed and built for use in only one product.",1,
ST-018,O-026,SR-001,"Component standardization can decrease costs due to economies of scale, but may also lead increased costs due to excess component capability",1,
ST-019,O-028,SR-001,"Standard components, in general, exhibit higher performance (for a given cost) than unique designs.",1,
ST-020,O-029,SR-001,standardization may act as an inertial force preventing firms from adopting a better component technology because of compatibility issues,1,
ST-021,O-030,SR-001,"The use of standard components can lower the complexity, cost, and lead time of product development.",1,
ST-022,O-031,SR-001,Modular architectures allow for optimization of local performance characteristics,1,
ST-023,O-032,SR-001,Global performance characteristics can only be optimized through an integral architecture,1,
ST-024,O-033,SR-001,A modular architecture may allow the use of a standard component,1,
ST-025,O-034,SR-001,The use of a standard component exploits the performance refinements the supplier of this component has been able to make over the entire history of the component's use,1,
ST-026,O-035,SR-001,"Modular architectures allow components to be designed, tested, and refined in a focused way without disruptions and distractions arising from the need to address either interface coupling or other functional elements",1,
ST-028,O-037,SR-001,"I illustrate the role [integral] architecture plays a role in global performance with the specific case of optimizing performance by minimizing the size and mass of a product; similar arguements can be made about other physical properties, such as natural frequency of vibration or electromagnetic radiation. ",1,
ST-029,O-038,SR-001,Two design strategies are frequently employed to minimize mass or size: function sharing and geometric nesting,1,
ST-030,O-039,SR-001,"An unfortunate consequence of nesting is the coupling of interfaces between components, the other hallmark of an integral architecture.",1,
ST-031,O-040,SR-001,"Integral architectures are sometimes employed to achieve very low unit costs, such as are required for disposable products",1,
ST-032,O-043,SR-001,"Modular architecture prefers a ""heavy weight system architect as team leader"" during the system-level design phase",1,
ST-033,O-044,SR-001,"Integral architecture prefers a ""heavy weight system integrator as a team leader"" durring the system-level design phase",1,
ST-034,O-045,SR-001,Modular architecture requires mapping functional elements to components during the system-level design phase,1,
ST-035,O-047,SR-001,Modular architecture requires defined interface standards and protocols in system-level design phase.,1,
ST-036,O-049,SR-001,Modular architecture allows division of effort to specialists during the system-level design phase.,1,
ST-037,O-050,SR-001,Integral architecture prefers to assign the subsystems to multidisciplinary teams during the system-level design phase,1,
ST-039,O-053,SR-001,Integral architecture requires constant interaction to evaluate performance and to manage implications of design changes during the detailed design phase,1,
ST-040,O-055,SR-001,"Modular architecture allows for design to be performed by ""supplier-like"" entities during the detailed design phase.",1,
ST-043,O-059,SR-001,Modular architecture allows component testing to be done independently during the detailed design phase.,1,
ST-044,O-062,SR-001,Modular architecture requires more more emphasis on the system-level design and planning phase,1,
ST-045,O-063,SR-001,"Integral architecture absorbs relatively less effort during system-level design, as the focus is on establishing clear targets for the performance of the overall system and on dividing the system into a relatively small number of integrated subsystems. ",1,
ST-046,O-064,SR-001,modular architecture can allow detailed design of each component to proceed almost independently and in parallel,1,
ST-047,O-065,SR-001,"For integral architecture, component designers all form a 'core team' and interact continually",1,
